Season,League,Level,W,D,L,G,GA,+/-,Points,Rank,Manager
18/19,PingAn Chinese FA Super League,First Tier,15,8,7,60,41,19,53,4,Cosmin Olaroiu
17/18,PingAn Chinese FA Super League,First Tier,13,9,8,48,33,15,48,5,Cosmin Olaroiu
16/17,PingAn Chinese FA Super League,First Tier,7,11,12,40,45,-5,32,12,Fabio Capello
15/16,PingAn Chinese FA Super League,First Tier,17,6,7,53,33,20,57,2,Yong-soo Choi
14/15,PingAn Chinese FA Super League,First Tier,9,8,13,39,48,-9,35,9,Dan Petrescu
13/14,PingAn Chinese FA Super League,First Tier,9,10,11,37,45,-8,37,8,Hongbo Gao
12/13,Wanda Plaza Chinese FA Super League,First Tier,7,11,12,32,39,-7,32,13,Dragomir Okuka
11/12,Wanda Plaza Chinese FA Super League,First Tier,14,12,4,49,29,20,54,2,Dragomir Okuka
10/11,Wanda Plaza Chinese FA Super League,First Tier,14,5,11,43,28,15,47,4,Dragomir Okuka
09/10,Pirelli Chinese FA Super League,First Tier,8,11,11,27,27,0,35,11,
08/09,Pirelli Chinese FA Super League,First Tier,9,10,11,30,30,0,37,11,
