index,Name,Current club,Date of Birth,Apps,Min/G,Goals/Match,Goals
1,Alex Teixeira,Without Club,1990-01-06,153,182,0.48,73
2,Xi Wu,Jiangsu FC,1989-02-19,262,511,0.16,41
3,Cristian Danalache,Progresul 2005 Bukarest,1982-07-15,76,173,0.49,37
4,Éder,Jiangsu FC,1986-11-15,62,158,0.52,32
5,Xiang Ji,Jiangsu FC,1990-03-01,296,810,0.09,28
6,Aleksandar Jevtic,Retired,1985-03-30,82,262,0.29,24
7,Ke Sun,Shenzhen FC,1989-08-26,161,556,0.14,22
8,Roger Martínez,CF América,1994-06-23,43,176,0.47,20
9,Ramires,Without Club,1987-03-24,73,358,0.23,17
10,Pengfei Xie,Jiangsu FC,1993-06-29,132,493,0.13,17
11,Ang Li,Jiangsu FC,1993-09-15,211,1060,0.08,17
12,Ivan Santini,NK Osijek,1989-05-21,31,120,0.42,13
13,Vidar Örn Kjartansson,Vålerenga Fotball,1990-03-11,35,204,0.37,13
14,Bofei Lu,Retired,1979-08-02,123,704,0.11,13
15,Eleílson,Retired,1985-04-02,160,1088,0.08,13
16,Hamdi Salihi,Retired,1984-01-19,36,177,0.33,12
17,Jô,Sport Club Corinthians Paulista,1987-03-20,26,174,0.42,11
18,Si Tan,Without Club,1987-01-06,53,252,0.19,10
19,Hang Ren,Hebei FC,1989-02-23,171,1665,0.05,9
20,Benjamin Moukandjo,AE Larisa,1988-11-12,11,118,0.73,8
21,Elias,Madureira Esporte Clube (RJ),1987-02-13,34,327,0.24,8
22,Song Wang,Sichuan Jiuniu,1983-10-12,66,480,0.12,8
23,Roda Antar,Retired,1980-09-12,33,486,0.18,6
24,Sergio Ariel Escudero,Tochigi SC,1988-09-01,34,459,0.18,6
25,Dejan Damjanović,Kitchee SC,1981-07-27,11,195,0.45,5
